case_id,jurisdiction,doc_length_tokens,doc_length_sentences,avg_sentence_length,statute_ref_count,precedent_citation_count,citation_count,doctrine_term_count,remedy_term_count,procedure_term_count,jurisdiction_mention_count,statute_per_1k,precedent_per_1k,citation_density,doctrine_per_1k,remedy_per_1k,procedure_per_1k,jurisdiction_per_1k,conclusion_position,party_arg_density
1055639,US,2038,94,21.68,7,5,12,0,3,7,0,3.4347,2.4534,5.8881,0.0,1.472,3.4347,0.0,0.0736,0.0
2395894,US,5256,337,15.6,5,38,43,1,1,2,3,0.9513,7.2298,8.1811,0.1903,0.1903,0.3805,0.5708,0.0338,0.0
2640239,US,1604,50,32.08,0,2,2,0,16,9,4,0.0,1.2469,1.2469,0.0,9.9751,5.611,2.4938,-1.0,0.0
1046591,US,1583,81,19.54,4,5,9,0,1,21,0,2.5268,3.1586,5.6854,0.0,0.6317,13.266,0.0,0.3469,0.0
2516170,US,5251,344,15.26,7,3,10,0,21,6,8,1.3331,0.5713,1.9044,0.0,3.9992,1.1426,1.5235,0.4347,0.0
1065224,US,3775,203,18.6,0,5,5,19,1,24,0,0.0,1.3245,1.3245,5.0331,0.2649,6.3576,0.0,0.046,0.5298
2156327,US,5349,285,18.77,2,31,33,24,2,14,13,0.3739,5.7955,6.1694,4.4868,0.3739,2.6173,2.4304,0.0335,0.5609
1188713,US,1218,51,23.88,0,2,2,0,1,6,2,0.0,1.642,1.642,0.0,0.821,4.9261,1.642,0.5686,2.4631
2639942,US,1998,78,25.62,0,6,6,2,9,4,2,0.0,3.003,3.003,1.001,4.5045,2.002,1.001,0.501,5.005
2692166,US,2332,69,33.8,0,8,8,1,0,23,15,0.0,3.4305,3.4305,0.4288,0.0,9.8628,6.4322,0.8811,0.0
2622043,US,4017,173,23.22,0,10,10,0,2,23,4,0.0,2.4894,2.4894,0.0,0.4979,5.7257,0.9958,-1.0,0.0
2706710,US,5372,417,12.88,0,33,33,4,3,26,4,0.0,6.143,6.143,0.7446,0.5585,4.8399,0.7446,-1.0,0.0
2622468,US,2859,176,16.24,0,24,24,3,0,11,1,0.0,8.3945,8.3945,1.0493,0.0,3.8475,0.3498,-1.0,0.0
2622542,US,5223,263,19.86,0,17,17,13,102,14,0,0.0,3.2548,3.2548,2.489,19.529,2.6805,0.0,0.0486,0.0
2224076,US,1504,43,34.98,0,14,14,0,0,3,1,0.0,9.3085,9.3085,0.0,0.0,1.9947,0.6649,0.9067,0.6649
2703952,US,3001,127,23.63,0,17,17,1,0,11,3,0.0,5.6648,5.6648,0.3332,0.0,3.6654,0.9997,0.8204,0.0
1657799,US,1786,96,18.6,0,10,10,10,0,5,0,0.0,5.5991,5.5991,5.5991,0.0,2.7996,0.0,0.2897,0.0
